# .text relocations, oplus_security_guard.ko
# relocations for .text: 214 entries
# offset     type                   target
  0x7e0      ADR_PREL_PG_HI21       .rodata+0x1c
  0x7e4      ADR_PREL_PG_HI21       .rodata+0x527
  0x7f0      ADD_ABS_LO12_NC        .rodata+0x1c
  0x7f4      ADD_ABS_LO12_NC        .rodata+0x527
  0x804      CALL26                 snprintf
  0x81c      CALL26                 kevent_send_to_user
  0x828      LDST32_ABS_LO12_NC     heapspary_xttr+0x4
  0x834      ADR_PREL_PG_HI21       .rodata+0x25f
  0x838      ADR_PREL_PG_HI21       .rodata+0x50a
  0x83c      ADD_ABS_LO12_NC        .rodata+0x25f
  0x840      ADD_ABS_LO12_NC        .rodata+0x50a
  0x844      CALL26                 printk
  0x848      ADR_PREL_PG_HI21       heapspary_xttr+0x4
  0x84c      ADR_PREL_PG_HI21       .rodata+0x55d
  0x850      ADD_ABS_LO12_NC        heapspary_xttr+0x4
  0x854      ADD_ABS_LO12_NC        .rodata+0x55d
  0x894      CALL26                 memset
  0x898      ADR_PREL_PG_HI21       .rodata+0x57e
  0x89c      ADD_ABS_LO12_NC        .rodata+0x57e
  0x8b8      ADR_PREL_PG_HI21       .rodata+0x1c
  0x8bc      ADR_PREL_PG_HI21       .rodata+0x527
  0x8c8      ADD_ABS_LO12_NC        .rodata+0x1c
  0x8cc      ADD_ABS_LO12_NC        .rodata+0x527
  0x8dc      CALL26                 snprintf
  0x8f4      CALL26                 kevent_send_to_user
  0x900      LDST32_ABS_LO12_NC     heapspary_ip6+0x4
  0x90c      ADR_PREL_PG_HI21       .rodata+0x49f
  0x910      ADR_PREL_PG_HI21       .rodata+0x50a
  0x914      ADD_ABS_LO12_NC        .rodata+0x49f
  0x918      ADD_ABS_LO12_NC        .rodata+0x50a
  0x91c      CALL26                 printk
  0x920      ADR_PREL_PG_HI21       heapspary_ip6+0x4
  0x924      ADR_PREL_PG_HI21       .rodata+0x55d
  0x928      ADD_ABS_LO12_NC        heapspary_ip6+0x4
  0x92c      ADD_ABS_LO12_NC        .rodata+0x55d
  0x96c      CALL26                 memset
  0x970      ADR_PREL_PG_HI21       .rodata+0x57e
  0x974      ADD_ABS_LO12_NC        .rodata+0x57e
  0x990      ADR_PREL_PG_HI21       .rodata+0x1c
  0x994      ADR_PREL_PG_HI21       .rodata+0x527
  0x9a0      ADD_ABS_LO12_NC        .rodata+0x1c
  0x9a4      ADD_ABS_LO12_NC        .rodata+0x527
  0x9b4      CALL26                 snprintf
  0x9cc      CALL26                 kevent_send_to_user
  0x9d8      LDST32_ABS_LO12_NC     heapspary_ip6+0x10
  0x9e4      ADR_PREL_PG_HI21       .rodata+0x3ba
  0x9e8      ADR_PREL_PG_HI21       .rodata+0x50a
  0x9ec      ADD_ABS_LO12_NC        .rodata+0x3ba
  0x9f0      ADD_ABS_LO12_NC        .rodata+0x50a
  0x9f4      CALL26                 printk
  0x9f8      ADR_PREL_PG_HI21       heapspary_ip6+0x10
  0x9fc      ADR_PREL_PG_HI21       .rodata+0x55d
  0xa00      ADD_ABS_LO12_NC        heapspary_ip6+0x10
  0xa04      ADD_ABS_LO12_NC        .rodata+0x55d
  0xa44      CALL26                 memset
  0xa48      ADR_PREL_PG_HI21       .rodata+0x57e
  0xa4c      ADD_ABS_LO12_NC        .rodata+0x57e
  0xa68      ADR_PREL_PG_HI21       .rodata+0x1c
  0xa6c      ADR_PREL_PG_HI21       .rodata+0x527
  0xa78      ADD_ABS_LO12_NC        .rodata+0x1c
  0xa7c      ADD_ABS_LO12_NC        .rodata+0x527
  0xa8c      CALL26                 snprintf
  0xaa4      CALL26                 kevent_send_to_user
  0xaac      LDST32_ABS_LO12_NC     heapspary_ip4+0x8
  0xab0      LDST32_ABS_LO12_NC     heapspary_ip4+0x4
  0xab8      LDST32_ABS_LO12_NC     heapspary_ip4+0x4
  0xac0      LDST32_ABS_LO12_NC     heapspary_ip4+0x14
  0xac4      LDST32_ABS_LO12_NC     heapspary_ip4+0x10
  0xacc      LDST32_ABS_LO12_NC     heapspary_ip4+0x10
  0xad4      LDST32_ABS_LO12_NC     heapspary_ip4+0x20
  0xad8      LDST32_ABS_LO12_NC     heapspary_ip4+0x1c
  0xae0      LDST32_ABS_LO12_NC     heapspary_ip4+0x1c
  0xae8      LDST32_ABS_LO12_NC     heapspary_cpuinfo+0x8
  0xaec      LDST32_ABS_LO12_NC     heapspary_cpuinfo+0x4
  0xaf4      LDST32_ABS_LO12_NC     heapspary_cpuinfo+0x4
  0xafc      LDST32_ABS_LO12_NC     heapspary_xttr+0x8
  0xb00      LDST32_ABS_LO12_NC     heapspary_xttr+0x4
  0xb08      LDST32_ABS_LO12_NC     heapspary_xttr+0x4
  0xb10      LDST32_ABS_LO12_NC     heapspary_ip6+0x8
  0xb14      LDST32_ABS_LO12_NC     heapspary_ip6+0x4
  0xb1c      LDST32_ABS_LO12_NC     heapspary_ip6+0x4
  0xb24      LDST32_ABS_LO12_NC     heapspary_ip6+0x14
  0xb28      LDST32_ABS_LO12_NC     heapspary_ip6+0x10
  0xb30      LDST32_ABS_LO12_NC     heapspary_ip6+0x10
  0xb38      CALL26                 __stack_chk_fail
  0xb58      ADR_PREL_PG_HI21       __stack_chk_guard
  0xb5c      LDST64_ABS_LO12_NC     __stack_chk_guard
  0xb60      ADR_PREL_PG_HI21       verified_bootstate
  0xb64      ADR_PREL_PG_HI21       .rodata+0x520
